ItemID,Quantity_Sum,StudentIDval,hours
12,11,"3","20"
12,6,"4","25"
12,13,"1","22"
12,21,"4","23"
12,1,"7","default"
12,3,"8","default"
12,14,"3","21"
12,8,"5","24"
12,1,"7","22"
12,9,"1","21"
12,56,"2","23"
12,5,"5","20"
12,8,"2","21"
12,3,"5","default"
12,17,"2","default"
12,8,"3","25"
12,2,"1","20"
12,12,"4","22"
12,12,"5","23"
12,4,"8","23"
12,2,"8","22"
12,1,"8","24"
12,3,"1","default"
12,4,"1","25"
12,2,"6","default"
12,2,"6","23"
12,2,"5","21"
12,5,"8","20"
12,2,"5","22"
12,3,"8","25"
12,1,"6","24"
12,1,"7","20"
14,18,"1","23"
14,10,"4","20"
14,14,"2","20"
14,30,"2","24"
14,25,"2","23"
14,19,"2","17"
14,16,"3","24"
14,20,"3","22"
14,8,"4","23"
14,15,"3","23"
14,17,"1","24"
14,6,"7","22"
14,5,"3","20"
14,20,"2","22"
14,8,"2","18"
14,19,"3","21"
14,6,"4","21"
14,11,"4","17"
14,15,"4","22"
14,4,"3","18"
14,2,"8","23"
14,1,"7","23"
14,13,"2","21"
14,17,"4","24"
14,8,"1","22"
14,5,"7","21"
14,7,"1","21"
14,10,"5","22"
14,1,"6","22"
14,2,"7","24"
14,2,"6","21"
14,4,"2","25"
14,15,"3","25"
14,5,"6","25"
14,1,"6","23"
14,2,"5","24"
14,2,"5","21"
14,1,"5","17"
14,6,"1","17"
14,1,"6","24"
14,1,"4","25"
14,6,"3","17"
14,2,"1","25"
14,2,"8","22"
14,1,"8","25"
14,1,"5","25"
14,1,"5","20"
15,23,"4","24"
15,25,"3","20"
15,22,"2","21"
15,15,"1","24"
15,39,"3","24"
15,33,"4","22"
15,28,"4","23"
15,32,"2","17"
15,4,"8","24"
15,21,"4","20"
15,23,"2","24"
15,25,"2","23"
15,9,"5","21"
15,22,"2","20"
15,12,"4","25"
15,54,"3","22"
15,41,"3","21"
15,4,"4","18"
15,38,"3","23"
15,34,"2","22"
15,19,"3","17"
15,1,"6","24"
15,1,"5","17"
15,10,"1","21"
15,5,"5","20"
15,3,"5","24"
15,10,"1","20"
15,34,"4","21"
15,12,"3","25"
15,11,"2","18"
15,7,"3","18"
15,6,"1","22"
15,18,"1","23"
15,4,"7","21"
15,4,"1","25"
15,11,"4","17"
15,4,"5","22"
15,2,"6","25"
15,2,"6","21"
15,3,"1","17"
15,4,"6","22"
15,2,"8","23"
15,7,"2","25"
15,4,"5","18"
15,5,"7","22"
15,1,"7","20"
15,3,"8","21"
15,1,"4","26"
15,1,"1","18"
15,1,"8","18"
15,1,"3","16"
15,1,"6","23"
16,28,"4","default"
16,7,"8","default"
16,7,"2","default"
16,22,"3","default"
16,11,"1","default"
18,2,"3","18"
18,7,"3","21"
18,14,"2","17"
18,39,"4","22"
18,19,"4","21"
18,23,"2","23"
18,4,"4","18"
18,15,"3","23"
18,4,"1","25"
18,5,"3","20"
18,1,"6","21"
18,11,"2","22"
18,7,"4","24"
18,2,"1","23"
18,3,"2","25"
18,5,"3","17"
18,11,"2","24"
18,1,"5","18"
18,2,"8","24"
18,8,"1","24"
18,3,"1","20"
18,1,"3","25"
18,12,"4","25"
18,5,"3","22"
18,4,"1","22"
18,16,"4","23"
18,2,"7","21"
18,6,"2","21"
18,1,"5","20"
18,6,"3","24"
18,1,"8","26"
18,1,"4","17"
18,1,"5","22"
18,9,"4","20"
18,1,"1","18"
18,5,"2","20"
18,6,"1","17"
18,6,"7","20"
18,2,"6","20"
18,6,"7","22"
18,1,"2","18"
18,2,"7","23"
19,22,"2","21"
19,12,"1","23"
19,42,"2","17"
19,20,"4","23"
19,13,"3","20"
19,24,"2","22"
19,3,"1","17"
19,11,"4","22"
19,32,"3","23"
19,7,"5","23"
19,4,"4","17"
19,10,"4","21"
19,26,"3","21"
19,14,"3","17"
19,11,"1","22"
19,22,"2","23"
19,4,"2","18"
19,14,"3","22"
19,3,"1","24"
19,11,"2","20"
19,6,"4","20"
19,9,"3","24"
19,4,"7","20"
19,2,"5","22"
19,2,"7","22"
19,1,"6","23"
19,5,"3","18"
19,1,"7","23"
19,3,"6","22"
19,1,"5","18"
19,4,"2","24"
19,1,"5","20"
19,1,"6","24"
19,2,"3","16"
19,2,"4","24"
19,2,"1","21"
19,1,"1","20"
19,1,"8","20"
19,1,"8","24"
21,1,"2","18"
21,9,"2","17"
21,2,"4","17"
21,10,"2","21"
21,8,"4","23"
21,2,"7","21"
21,9,"2","22"
21,7,"3","23"
21,5,"4","21"
21,9,"2","23"
21,8,"4","20"
21,3,"3","24"
21,1,"8","22"
21,7,"3","21"
21,8,"4","22"
21,4,"3","20"
21,2,"3","18"
21,6,"3","17"
21,1,"5","18"
21,3,"2","20"
21,13,"3","22"
21,1,"1","24"
21,1,"1","22"
21,1,"4","18"
22,6,"6","23"
22,51,"3","23"
22,45,"1","23"
22,52,"2","24"
22,14,"2","20"
22,95,"2","17"
22,165,"2","default"
22,29,"4","24"
22,15,"4","17"
22,41,"2","22"
22,19,"3","17"
22,26,"4","22"
22,44,"2","23"
22,143,"3","default"
22,21,"4","23"
22,14,"4","25"
22,7,"1","18"
22,3,"6","25"
22,144,"4","default"
22,14,"1","17"
22,1,"8","26"
22,13,"2","18"
22,41,"3","22"
22,19,"5","default"
22,38,"1","default"
22,10,"4","20"
22,3,"5","23"
22,6,"8","23"
22,46,"3","24"
22,20,"3","25"
22,45,"1","24"
22,18,"2","25"
22,25,"1","25"
22,17,"1","21"
22,9,"8","default"
22,9,"3","20"
22,24,"3","21"
22,6,"5","20"
22,14,"2","21"
22,2,"8","25"
22,25,"4","21"
22,2,"5","21"
22,1,"7","21"
22,3,"3","18"
22,18,"1","22"
22,2,"6","17"
22,4,"4","18"
22,8,"6","default"
22,4,"8","20"
22,6,"1","20"
22,4,"8","21"
22,2,"7","default"
22,2,"5","17"
22,2,"7","22"
22,3,"8","22"
22,6,"6","24"
22,1,"6","22"
22,1,"6","20"
22,4,"8","24"
22,2,"5","24"
22,1,"7","20"
22,2,"6","21"
23,2,"1","17"
23,8,"2","22"
23,8,"4","23"
23,4,"1","24"
23,7,"3","22"
23,1,"5","22"
23,23,"2","17"
23,1,"7","22"
23,10,"3","21"
23,5,"2","24"
23,7,"2","20"
23,11,"3","24"
23,8,"2","23"
23,4,"3","23"
23,2,"4","24"
23,3,"1","21"
23,1,"2","18"
23,3,"3","20"
23,4,"1","23"
23,1,"2","21"
23,7,"4","22"
23,2,"4","25"
23,2,"3","25"
23,4,"4","21"
23,1,"5","24"
23,1,"5","18"
23,1,"6","24"
23,2,"1","22"
23,2,"3","17"
23,1,"1","20"
23,1,"2","25"
23,1,"4","20"
23,3,"4","17"
23,1,"5","21"
23,1,"6","25"
25,52,"4","21"
25,42,"1","24"
25,37,"2","17"
25,72,"3","23"
25,71,"2","24"
25,32,"3","24"
25,20,"4","25"
25,8,"4","18"
25,22,"3","17"
25,27,"3","21"
25,4,"5","18"
25,45,"3","25"
25,44,"2","23"
25,31,"4","23"
25,14,"4","22"
25,5,"1","20"
25,15,"2","25"
25,21,"1","25"
25,43,"2","22"
25,39,"1","23"
25,12,"8","21"
25,19,"2","21"
25,30,"3","22"
25,10,"3","20"
25,2,"5","25"
25,25,"4","20"
25,6,"1","22"
25,21,"2","20"
25,2,"1","17"
25,10,"4","17"
25,1,"1","18"
25,3,"1","21"
25,2,"5","24"
25,14,"5","23"
25,7,"2","18"
25,1,"8","25"
25,17,"4","24"
25,6,"7","22"
25,1,"8","22"
25,2,"3","18"
25,2,"8","23"
25,6,"6","23"
25,1,"8","17"
25,2,"6","21"
26,121,"2","17"
26,18,"2","21"
26,88,"2","23"
26,11,"8","21"
26,38,"3","23"
26,71,"2","22"
26,16,"2","25"
26,18,"4","24"
26,14,"8","24"
26,26,"3","24"
26,22,"1","23"
26,11,"8","23"
26,49,"1","24"
26,10,"1","17"
26,27,"3","17"
26,3,"7","21"
26,70,"4","21"
26,15,"4","23"
26,37,"4","22"
26,3,"5","22"
26,17,"3","22"
26,15,"4","25"
26,64,"2","24"
26,38,"4","20"
26,11,"8","20"
26,5,"8","17"
26,2,"1","18"
26,6,"3","20"
26,1,"5","17"
26,32,"2","20"
26,15,"4","17"
26,2,"7","18"
26,3,"2","18"
26,2,"1","20"
26,2,"4","26"
26,25,"3","25"
26,2,"6","17"
26,5,"1","25"
26,24,"3","18"
26,6,"5","21"
26,8,"1","21"
26,4,"5","24"
26,33,"8","22"
26,2,"7","22"
26,20,"3","21"
26,7,"8","25"
26,2,"6","24"
26,7,"1","22"
26,1,"5","23"
26,7,"4","18"
26,2,"5","20"
48,33,"2","23"
48,19,"1","24"
48,19,"2","24"
48,17,"3","22"
48,19,"4","22"
48,4,"4","25"
48,22,"3","24"
48,28,"4","24"
48,9,"2","25"
48,7,"1","25"
48,16,"3","23"
48,4,"8","25"
48,6,"2","21"
48,15,"2","17"
48,16,"2","22"
48,12,"3","25"
48,3,"5","24"
48,12,"1","23"
48,4,"3","21"
48,1,"5","21"
48,1,"5","20"
48,20,"4","23"
48,2,"4","20"
48,8,"4","21"
48,1,"8","20"
48,5,"3","20"
48,2,"8","21"
48,1,"4","18"
48,2,"2","18"
48,7,"6","24"
48,2,"1","22"
48,3,"4","17"
48,2,"2","20"
48,3,"3","17"
48,1,"8","17"
48,4,"5","18"
48,1,"1","18"
48,3,"5","23"
48,3,"8","23"
48,2,"6","23"
48,2,"5","22"
48,1,"1","21"
48,2,"6","25"
48,2,"1","17"
48,2,"8","24"
50,6,"3","23"
50,26,"2","17"
50,3,"1","23"
50,5,"2","20"
50,1,"5","20"
50,5,"2","21"
50,2,"8","17"
50,4,"4","20"
50,10,"3","17"
50,5,"3","21"
50,8,"4","17"
50,3,"2","18"
50,3,"4","21"
50,7,"1","17"
50,7,"4","23"
50,1,"8","20"
50,4,"3","22"
50,4,"4","22"
50,3,"1","22"
50,4,"2","22"
50,3,"3","20"
50,1,"6","20"
50,1,"5","22"
50,3,"2","23"
50,1,"5","18"
50,1,"1","21"
50,1,"1","18"
54,9,"2","23"
54,4,"3","17"
54,3,"1","17"
54,5,"2","21"
54,13,"4","21"
54,15,"2","17"
54,1,"5","17"
54,9,"1","23"
54,12,"3","23"
54,10,"2","22"
54,10,"3","22"
54,1,"5","23"
54,1,"1","21"
54,7,"3","21"
54,6,"3","24"
54,3,"4","20"
54,5,"2","24"
54,6,"2","18"
54,1,"4","18"
54,2,"1","24"
54,5,"4","22"
54,1,"5","21"
54,6,"4","23"
54,2,"6","23"
54,2,"3","18"
54,1,"3","20"
54,1,"4","24"
54,2,"2","20"
54,1,"6","22"
54,1,"8","23"
74,3,"5","24"
74,16,"1","17"
74,38,"2","17"
74,36,"3","21"
74,49,"3","24"
74,31,"1","24"
74,62,"2","24"
74,29,"4","24"
74,56,"4","21"
74,24,"1","22"
74,42,"3","22"
74,1,"8","24"
74,18,"5","21"
74,45,"2","21"
74,31,"1","21"
74,51,"4","23"
74,1,"5","17"
74,2,"8","17"
74,57,"3","23"
74,21,"4","17"
74,4,"8","21"
74,68,"2","23"
74,25,"4","20"
74,41,"1","23"
74,30,"2","20"
74,51,"4","22"
74,36,"2","22"
74,5,"1","18"
74,1,"6","17"
74,12,"1","20"
74,21,"3","20"
74,13,"3","17"
74,9,"1","25"
74,2,"3","18"
74,2,"5","22"
74,10,"5","default"
74,20,"3","default"
74,25,"2","default"
74,25,"4","default"
74,2,"8","23"
74,1,"6","20"
74,23,"1","default"
74,2,"8","default"
74,4,"6","23"
74,4,"6","21"
74,2,"6","default"
74,22,"4","25"
74,22,"2","25"
74,20,"3","25"
74,4,"8","22"
74,3,"7","22"
74,1,"8","20"
74,5,"2","18"
74,1,"5","20"
74,1,"5","23"
74,1,"5","25"
76,44,"1","25"
76,69,"2","22"
76,33,"1","22"
76,78,"1","23"
76,123,"2","23"
76,39,"3","25"
76,118,"3","23"
76,58,"4","25"
76,57,"3","20"
76,18,"1","20"
76,85,"4","23"
76,48,"2","21"
76,18,"8","21"
76,26,"1","21"
76,48,"4","default"
76,46,"3","default"
76,113,"1","24"
76,69,"2","default"
76,71,"4","24"
76,22,"1","default"
76,74,"3","24"
76,2,"7","23"
76,22,"5","20"
76,91,"2","24"
76,54,"2","20"
76,62,"4","20"
76,15,"8","20"
76,2,"5","25"
76,30,"2","25"
76,67,"2","17"
76,8,"5","18"
76,4,"8","default"
76,8,"3","18"
76,62,"4","21"
76,10,"5","24"
76,53,"4","22"
76,10,"5","22"
76,2,"2","18"
76,63,"3","21"
76,7,"5","21"
76,6,"7","21"
76,7,"8","24"
76,10,"6","23"
76,7,"6","24"
76,13,"8","22"
76,77,"3","22"
76,3,"7","22"
76,3,"7","20"
76,5,"5","23"
76,27,"1","17"
76,11,"8","23"
76,8,"8","25"
76,22,"4","17"
76,30,"3","17"
76,1,"6","17"
76,3,"6","20"
76,7,"5","default"
76,5,"1","18"
76,3,"6","21"
76,5,"7","24"
76,3,"5","17"
76,1,"4","16"
76,1,"7","18"
76,1,"4","18"
76,2,"7","default"
76,1,"7","17"
76,3,"6","22"
76,1,"4","26"
93,11,"1","25"
93,5,"4","24"
93,12,"3","25"
93,8,"3","20"
93,33,"3","24"
93,14,"1","22"
93,17,"2","default"
93,22,"1","24"
93,27,"1","23"
93,3,"5","18"
93,6,"4","default"
93,17,"3","22"
93,4,"5","17"
93,4,"5","21"
93,15,"3","17"
93,11,"1","17"
93,24,"2","23"
93,16,"3","default"
93,6,"2","25"
93,30,"3","23"
93,14,"2","17"
93,1,"5","25"
93,5,"4","21"
93,1,"7","24"
93,5,"1","default"
93,1,"2","18"
93,8,"1","21"
93,3,"5","default"
93,3,"8","25"
93,8,"2","21"
93,9,"3","21"
93,22,"2","24"
93,7,"1","20"
93,1,"8","24"
93,9,"2","20"
93,2,"5","20"
93,14,"2","22"
93,4,"8","22"
93,5,"4","25"
93,3,"5","24"
93,2,"4","17"
93,5,"4","23"
93,3,"8","23"
93,1,"4","20"
93,4,"4","22"
93,2,"5","22"
93,3,"8","21"
93,1,"7","20"
93,3,"1","18"
93,2,"6","23"
93,1,"8","default"
93,1,"6","22"
93,3,"5","23"
98,1,"7","17"
98,5,"1","22"
98,16,"4","22"
98,20,"2","18"
98,13,"2","25"
98,21,"4","21"
98,18,"3","23"
98,42,"2","17"
98,10,"3","24"
98,13,"3","17"
98,22,"2","22"
98,3,"7","22"
98,13,"2","24"
98,7,"3","18"
98,4,"1","25"
98,10,"1","21"
98,7,"3","21"
98,22,"2","23"
98,14,"1","23"
98,15,"2","21"
98,11,"4","24"
98,10,"4","23"
98,2,"5","17"
98,9,"5","20"
98,2,"8","22"
98,6,"1","24"
98,3,"3","20"
98,4,"2","20"
98,5,"4","17"
98,20,"4","25"
98,3,"5","23"
98,12,"1","18"
98,7,"1","17"
98,2,"4","16"
98,2,"5","18"
98,7,"3","22"
98,13,"3","25"
98,1,"5","21"
98,2,"4","20"
98,1,"3","16"
98,1,"5","22"
98,3,"6","23"
98,1,"6","17"
99,4,"2","23"
99,3,"3","17"
99,16,"2","17"
99,4,"4","22"
99,5,"3","23"
99,1,"1","22"
99,1,"4","20"
99,4,"2","18"
99,4,"1","21"
99,2,"3","21"
99,3,"2","21"
99,2,"4","21"
99,1,"4","23"
99,2,"2","24"
99,2,"3","20"
99,1,"5","20"
99,1,"4","17"
99,1,"1","23"
99,4,"3","22"
99,1,"8","23"
99,1,"5","18"
99,1,"1","17"
100,65,"2","17"
100,36,"4","23"
100,6,"1","22"
100,23,"4","17"
100,24,"3","17"
100,33,"4","24"
100,50,"2","23"
100,11,"2","25"
100,6,"1","17"
100,25,"2","22"
100,3,"7","22"
100,26,"4","22"
100,10,"5","23"
100,13,"2","21"
100,23,"3","22"
100,16,"3","21"
100,25,"4","21"
100,17,"2","20"
100,3,"3","18"
100,26,"3","24"
100,8,"1","23"
100,12,"3","25"
100,3,"1","25"
100,21,"4","25"
100,1,"5","17"
100,23,"2","24"
100,4,"5","22"
100,40,"3","23"
100,2,"1","24"
100,15,"3","20"
100,7,"2","18"
100,2,"8","20"
100,2,"5","24"
100,3,"8","23"
100,1,"7","24"
100,1,"5","25"
100,1,"5","20"
100,5,"1","21"
100,1,"3","16"
100,1,"1","18"
100,1,"1","20"
100,3,"4","20"
100,2,"5","21"
100,1,"7","20"
105,4,"2","22"
105,4,"1","23"
105,12,"3","24"
105,9,"1","24"
105,13,"4","24"
105,5,"3","23"
105,3,"2","25"
105,9,"3","20"
105,2,"2","21"
105,4,"2","23"
105,3,"3","21"
105,2,"4","25"
105,3,"2","24"
105,3,"2","17"
105,2,"4","23"
105,2,"3","17"
105,2,"8","23"
105,2,"3","25"
105,3,"3","22"
105,6,"1","25"
105,1,"4","17"
105,2,"1","17"
105,1,"8","24"
105,2,"6","23"
105,1,"4","22"
107,72,"2","17"
107,8,"3","20"
107,18,"2","22"
107,6,"2","18"
107,4,"1","22"
107,8,"4","23"
107,12,"3","21"
107,37,"3","17"
107,12,"3","22"
107,12,"1","17"
107,8,"4","20"
107,16,"3","23"
107,6,"4","24"
107,14,"1","24"
107,20,"4","17"
107,15,"3","24"
107,5,"2","20"
107,14,"2","23"
107,12,"1","23"
107,1,"5","24"
107,2,"8","23"
107,6,"2","24"
107,1,"5","23"
107,1,"4","25"
107,15,"2","21"
107,3,"8","17"
107,2,"5","20"
107,6,"4","21"
107,4,"4","22"
107,2,"1","21"
107,1,"5","18"
107,4,"3","18"
107,1,"6","22"
107,1,"7","21"
107,1,"8","21"
107,2,"1","20"
108,19,"1","24"
108,7,"2","24"
108,18,"3","24"
108,17,"3","25"
108,16,"4","24"
108,10,"3","22"
108,2,"3","21"
108,2,"2","21"
108,14,"1","25"
108,10,"2","22"
108,6,"4","23"
108,7,"4","17"
108,9,"3","23"
108,15,"4","25"
108,23,"2","17"
108,11,"1","23"
108,15,"2","25"
108,1,"6","18"
108,1,"5","20"
108,5,"3","17"
108,16,"2","23"
108,5,"1","17"
108,2,"8","24"
108,1,"5","25"
108,2,"2","20"
108,2,"5","24"
108,1,"8","20"
108,1,"1","22"
108,1,"4","21"
108,1,"5","22"
123,149,"3","17"
123,20,"2","default"
123,527,"2","17"
123,151,"1","17"
123,104,"4","17"
123,19,"8","17"
123,6,"7","default"
123,13,"5","17"
123,13,"6","17"
123,1,"8","21"
123,1,"3","21"
123,4,"7","17"
123,1,"5","18"
123,2,"3","16"
123,6,"2","16"
123,2,"1","16"
123,4,"1","18"
123,1,"2","18"
123,2,"2","21"
123,19,"3","default"
123,2,"8","default"
123,3,"4","default"
124,70,"3","21"
124,19,"8","21"
124,107,"2","21"
124,56,"1","21"
124,74,"4","21"
124,15,"5","21"
124,45,"4","20"
124,78,"2","20"
124,37,"3","20"
124,43,"1","20"
124,16,"8","20"
124,13,"5","20"
124,10,"7","20"
124,3,"6","20"
124,11,"6","21"
124,8,"2","23"
124,3,"3","23"
124,1,"1","23"
124,5,"6","23"
124,1,"4","23"
124,37,"3","22"
124,3,"8","22"
124,48,"2","22"
124,10,"1","22"
124,3,"5","22"
124,11,"4","22"
124,6,"7","21"
128,310,"2","23"
128,297,"2","22"
128,160,"2","default"
128,72,"4","21"
128,135,"4","23"
128,79,"2","21"
128,111,"4","default"
128,42,"2","25"
128,125,"1","22"
128,11,"7","22"
128,60,"4","25"
128,14,"8","23"
128,25,"8","22"
128,80,"3","21"
128,39,"1","25"
128,224,"3","22"
128,175,"3","default"
128,63,"3","25"
128,188,"4","22"
128,26,"5","22"
128,3,"8","25"
128,248,"3","24"
128,7,"7","21"
128,10,"8","21"
128,32,"1","21"
128,210,"1","24"
128,218,"2","24"
128,225,"3","23"
128,169,"4","24"
128,13,"6","default"
128,24,"5","21"
128,131,"1","23"
128,11,"5","23"
128,18,"6","23"
128,10,"6","25"
128,14,"5","24"
128,4,"5","25"
128,13,"4","20"
128,8,"8","24"
128,1,"5","20"
128,11,"2","20"
128,10,"3","20"
128,17,"6","24"
128,9,"6","22"
128,36,"1","default"
128,1,"7","25"
128,3,"7","23"
128,2,"8","default"
128,8,"5","default"
128,1,"6","21"
128,5,"1","20"
128,1,"8","20"
128,7,"7","24"
128,1,"6","20"
129,9,"7","21"
129,19,"3","default"
129,10,"3","24"
129,24,"1","22"
129,14,"4","21"
129,8,"4","22"
129,16,"3","22"
129,3,"6","23"
129,12,"2","22"
129,11,"2","23"
129,10,"2","21"
129,7,"3","23"
129,3,"5","22"
129,10,"4","24"
129,42,"1","25"
129,2,"6","22"
129,14,"1","24"
129,16,"1","21"
129,8,"3","21"
129,24,"2","default"
129,7,"6","default"
129,20,"4","default"
129,10,"4","23"
129,23,"4","25"
129,10,"1","23"
129,5,"8","25"
129,12,"4","20"
129,12,"3","25"
129,11,"2","20"
129,11,"1","default"
129,20,"2","25"
129,9,"3","20"
129,1,"7","23"
129,4,"2","24"
129,6,"7","22"
129,3,"8","default"
129,4,"6","25"
129,1,"8","24"
129,3,"8","22"
129,11,"8","20"
129,1,"5","23"
129,5,"8","21"
129,2,"8","23"
129,5,"1","20"
129,5,"5","21"
129,1,"7","20"
129,3,"5","default"
129,2,"5","20"
129,2,"6","24"
129,1,"5","24"
129,1,"5","25"
130,28,"4","21"
130,24,"6","23"
130,71,"1","23"
130,38,"3","20"
130,52,"3","23"
130,83,"8","default"
130,44,"1","21"
130,73,"1","22"
130,58,"2","21"
130,124,"1","24"
130,9,"3","25"
130,42,"3","22"
130,41,"8","21"
130,44,"2","20"
130,131,"8","20"
130,34,"2","24"
130,26,"4","default"
130,18,"5","20"
130,27,"4","22"
130,26,"4","20"
130,31,"1","25"
130,8,"6","22"
130,41,"3","default"
130,40,"2","default"
130,42,"3","24"
130,32,"1","20"
130,14,"2","25"
130,5,"6","20"
130,8,"6","25"
130,22,"8","22"
130,68,"2","22"
130,20,"4","24"
130,13,"8","24"
130,57,"2","23"
130,12,"8","25"
130,30,"1","default"
130,8,"7","21"
130,34,"3","21"
130,4,"5","24"
130,18,"4","23"
130,19,"4","25"
130,10,"7","20"
130,6,"5","21"
130,5,"6","21"
130,12,"8","23"
130,3,"7","22"
130,6,"5","22"
130,9,"6","default"
130,6,"5","default"
130,4,"5","23"
130,7,"6","24"
130,1,"7","default"
131,6,"2","21"
131,1,"8","22"
131,5,"4","20"
131,3,"3","20"
131,4,"8","24"
131,5,"4","21"
131,3,"4","22"
131,5,"3","22"
131,3,"3","24"
131,3,"2","20"
131,5,"8","21"
131,3,"1","21"
131,1,"4","23"
131,3,"3","21"
131,2,"4","25"
131,2,"1","23"
131,5,"3","default"
131,4,"2","24"
131,2,"4","24"
131,4,"1","24"
131,3,"2","22"
131,3,"8","default"
131,1,"2","23"
131,3,"1","22"
131,1,"2","25"
131,1,"4","default"
131,4,"3","23"
131,2,"8","23"
131,1,"7","default"
132,13,"1","22"
132,7,"3","20"
132,7,"1","23"
132,9,"2","22"
132,2,"4","default"
132,1,"6","default"
132,10,"1","25"
132,3,"4","23"
132,5,"8","22"
132,11,"2","21"
132,2,"8","20"
132,4,"7","21"
132,19,"4","20"
132,9,"3","22"
132,7,"1","default"
132,14,"2","20"
132,1,"5","22"
132,6,"3","21"
132,6,"1","21"
132,3,"5","20"
132,1,"4","25"
132,5,"8","21"
132,4,"3","default"
132,5,"4","21"
132,3,"1","24"
132,8,"3","23"
132,8,"3","24"
132,5,"6","22"
132,3,"8","24"
132,2,"2","24"
132,3,"1","20"
132,4,"4","24"
132,4,"7","20"
132,8,"2","23"
132,1,"8","default"
132,2,"2","default"
132,2,"8","25"
132,3,"6","21"
132,1,"5","23"
132,2,"6","23"
132,1,"2","25"
132,2,"4","22"
133,5,"8","20"
133,5,"1","24"
133,3,"3","default"
133,2,"2","20"
133,2,"5","21"
133,1,"4","24"
133,8,"6","20"
133,1,"1","23"
133,3,"2","23"
133,2,"4","22"
133,2,"1","22"
133,1,"4","21"
133,1,"4","25"
133,3,"1","25"
133,4,"2","21"
133,3,"2","22"
133,1,"3","24"
133,2,"3","21"
133,1,"3","23"
133,1,"8","23"
133,1,"3","20"
134,56,"2","21"
134,141,"1","24"
134,20,"6","default"
134,6,"5","default"
134,9,"5","24"
134,156,"2","23"
134,89,"3","default"
134,115,"1","23"
134,135,"2","24"
134,69,"3","22"
134,99,"2","default"
134,15,"6","23"
134,58,"1","22"
134,26,"1","default"
134,2,"7","default"
134,52,"4","default"
134,27,"1","21"
134,31,"3","21"
134,23,"4","21"
134,106,"3","24"
134,14,"8","22"
134,45,"4","24"
134,76,"3","23"
134,11,"5","21"
134,10,"8","23"
134,42,"4","25"
134,49,"3","25"
134,122,"2","22"
134,44,"2","20"
134,23,"4","20"
134,63,"2","25"
134,9,"8","default"
134,8,"6","25"
134,35,"4","22"
134,91,"1","25"
134,17,"1","20"
134,2,"7","22"
134,10,"8","21"
134,8,"8","25"
134,4,"5","22"
134,12,"6","24"
134,6,"5","25"
134,18,"8","20"
134,35,"3","20"
134,6,"5","23"
134,28,"4","23"
